barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511142_1_3,121063873,600,5,12924,inner SZ in lateral temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124022
252491511106_2_3,147805024,600,5,127404182,VZ in dorsomedial extrastriate cortex (V2),,H376.IIIA.02,/api/v2/well_known_file_download/147817281
252491511315_2_3,147807901,600,5,127434648,hypoglossal nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825755
252491511250_2_4,147805830,600,5,127409069,inner SZ in posteror frontal cortex (motor cortex),,H376.IIIB.02,/api/v2/well_known_file_download/147820083
252491510934_1_4,147804761,600,5,113221721,outer CP in rostral cingulate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817227
252491511281_2_4,147806520,600,5,127427000,pyramidal layer of rostral subiculum,,H376.IIIB.02,/api/v2/well_known_file_download/147820383
252491511087_2_2,127366300,600,5,113221092,IZ in posteror frontal cortex (motor cortex),,H376.IV.03,/api/v2/well_known_file_download/149206112
252491511170_1_3,114245548,600,5,12145,MZ in rostral entorhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059747
252491511198_1_3,147804739,600,5,113221823,callosal sling,,H376.IIIA.02,/api/v2/well_known_file_download/147817401
252491511215_1_1,147803930,600,5,127401286,inner CP in superolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815084
252491511080_2_3,127366472,600,5,113221397,inferior nucleus of pulvinar,,H376.IV.03,/api/v2/well_known_file_download/149206098
252491511184_1_1,114245424,600,5,12030,IZ in dysgranular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059579
252491511260_2_2,147803375,600,5,113221922,IZ in dysgranular insular cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815528
252491510934_1_2,147804933,600,5,127424250,inner CP in ventromedial extrastriate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817223
252491511274_1_2,147806347,600,5,127426833,MZ in posteroventral (inferior) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820316
252491510956_2_3,146036835,600,5,113220626,inner CP in midinferior temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/146039601
252491510957_1_4,146036829,600,5,113220626,inner CP in midinferior temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/146039611
