barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511264_2_4,147803898,600,5,127401260,outer CP in posterosuperior (dorsal) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815596
252491511300_1_2,147807748,600,5,127434520,cochlear nuclei,,H376.IIIB.02,/api/v2/well_known_file_download/147825655
252491511252_1_4,147806341,600,5,127426831,layer IIIu of area 35r,,H376.IIIB.02,/api/v2/well_known_file_download/147820149
252491511130_2_3,121063836,600,5,12909,SG in medial temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149123869
252491511268_1_2,147803564,600,5,127407346,MZ in medial temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815648
252491511155_2_3,121063893,600,5,12930,inner CP in midlateral extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149124211
252491510932_1_2,147804975,600,5,127408920,MZ in dorsomedial extrastriate cortex (V2),,H376.IIIA.02,/api/v2/well_known_file_download/147817191
252491511255_2_1,147803492,600,5,127408930,SP in primary visual cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815444
252491510955_2_2,146036895,600,5,113221123,VZ in primary somatosensory cortex,,H376.IV.03,/api/v2/well_known_file_download/146039583
252491511057_1_3,121080210,600,5,113220459,medial septal nucleus,,H376.IV.03,/api/v2/well_known_file_download/149195946
252491511147_2_3,121063751,600,5,12889,molecular layer of caudal subiculum,,H376.IV.02,/api/v2/well_known_file_download/149124095
252491511145_1_4,121063796,600,5,12884,inner CP in caudal cingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/149124056
252491510928_1_2,147804833,600,5,113221884,Dorsal claustrum,,H376.IIIA.02,/api/v2/well_known_file_download/147817143
252491511170_2_4,114245563,600,5,12150,SG in rostral entorhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059737
252491511289_2_2,147807722,600,5,127434512,nucleus coeruleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825567
252491511096_2_3,127366122,600,5,113220965,IZ in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206271
252491510959_1_3,146037022,600,5,12818,medial geniculate nuclei,,H376.IV.02,/api/v2/well_known_file_download/146038912
252491510960_2_2,146037016,600,5,12818,medial geniculate nuclei,,H376.IV.02,/api/v2/well_known_file_download/146038934
252491510992_2_4,121080725,600,5,113220535,paraventricular nucleus,,H376.IV.03,/api/v2/well_known_file_download/149195781
252491511200_2_3,114245772,600,5,12052,layer II of piriform cortex,,H376.IV.02,/api/v2/well_known_file_download/121059947
252491510960_1_3,146037010,600,5,12796,dorsal lateral geniculate nucleus,,H376.IV.02,/api/v2/well_known_file_download/146038928
252491511163_2_1,121063413,600,5,12796,dorsal lateral geniculate nucleus,,H376.IV.02,/api/v2/well_known_file_download/149124287
252491511324_2_1,147807197,600,5,127426898,inner SZ in posteroinferior (ventral) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825895
252491511215_2_3,147803882,600,5,127401246,stratum oriens of caudal CA1,,H376.IIIA.02,/api/v2/well_known_file_download/147815099
252491511053_2_4,121080188,600,5,113220455,subgenual (subcallosal) division of MFC (area 25),,H376.IV.03,/api/v2/well_known_file_download/149195902
252491511087_2_1,127366490,600,5,113221451,MZ in retrosplenial cortex,,H376.IV.03,/api/v2/well_known_file_download/149206110
252491511319_2_3,147807249,600,5,127426966,lateral posterior nucleus of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147825819
252491511318_1_3,147807808,600,5,127434592,ventricular (matrix) zone of cerebellum,,H376.IIIB.02,/api/v2/well_known_file_download/147825795
252491511282_1_4,147806080,600,5,127426573,IZ in dysgranular insular cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820391
252491511100_2_4,121081360,600,5,113220707,anterior cortical nucleus,,H376.IV.03,/api/v2/well_known_file_download/149195994
252491511254_2_4,147806716,600,5,127434200,lateral habenular nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147820246
252491511161_1_2,121063815,600,5,12901,MZ in dorsomedial parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124249
252491511161_1_1,121063813,600,5,12901,MZ in dorsomedial parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124247
252491510816_2_2,147807822,600,5,127434607,SP in medial temporal-occipital cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825519
252491511146_1_4,121063766,600,5,12880,SZ in caudal cingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/149124073
252491511188_2_2,114245382,600,5,12022,outer SZ in orbital frontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059655
252491511261_2_4,147803348,600,5,113221912,laterodorsal part of putamen,,H376.IIIA.02,/api/v2/well_known_file_download/147815548
252491511154_1_4,121081148,600,5,113220628,outer CP in midcingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149196055
252491510958_1_1,146037076,600,5,12912,MZ in lateral temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/146038899
252491511211_1_3,147803167,600,5,113221713,caudal portion of VFC (area 44),,H376.IIIA.02,/api/v2/well_known_file_download/147815023
252491511138_1_4,121063548,600,5,12822,SG in primary auditory cortex,,H376.IV.02,/api/v2/well_known_file_download/149123975
252491511310_1_1,147807566,600,5,127434381,outer CP in caudal midinferior temporal cortex (area TF),,H376.IIIB.02,/api/v2/well_known_file_download/147825669
252491511319_2_1,147807560,600,5,127434381,outer CP in caudal midinferior temporal cortex (area TF),,H376.IIIB.02,/api/v2/well_known_file_download/147825815
252491511266_1_2,147804140,600,5,113221994,inner CP in granular insular cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815616
252491511275_1_3,147806146,600,5,127426674,Intercalated nucleus of amygdala,,H376.IIIB.02,/api/v2/well_known_file_download/147820334
252491511274_1_1,147806203,600,5,127426725,SG in rostral perirhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820314
252491511105_2_2,147805524,600,5,113221969,paraventricular nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817263
252491511228_1_3,147806128,600,5,127426587,peripheral portion of GPi,,H376.IIIB.02,/api/v2/well_known_file_download/147819894
252491511142_1_4,121063876,600,5,12925,VZ in medial temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124024
252491511077_1_2,127365984,600,5,113220285,inner SZ in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149205976
252491511045_2_4,121080096,600,5,113220285,inner SZ in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195851
252491511258_1_3,147803044,600,5,13363,outer CP in dorsomedial frontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815488
252491511259_1_1,147803810,600,5,127407523,inner SZ in dorsomedial parietal cortex (area 7m),,H376.IIIA.02,/api/v2/well_known_file_download/147815501
252491511196_1_1,147805518,600,5,113221967,parataenial nucleus of thalamus,,H376.IIIA.02,/api/v2/well_known_file_download/147817365
252491511265_1_3,147803802,600,5,127407517,IZ in dorsomedial parietal cortex (area 7m),,H376.IIIA.02,/api/v2/well_known_file_download/147815602
252491511319_1_1,147807177,600,5,127426851,MZ in primary auditory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825807
252491511045_1_2,121080918,600,5,113220583,ventral claustrum,,H376.IV.03,/api/v2/well_known_file_download/149195839
252491511103_2_3,127366596,600,5,113221491,inner SZ in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206333
252491510817_1_3,147806998,600,5,127434663,lateral septal nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825529
252491510933_2_2,147805138,600,5,127407385,VZ in medial temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817215
252491511159_1_3,114245760,600,5,12039,MZ in dysgranular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059853
252491511078_1_3,127366534,600,5,113221463,outer CP in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149205998
252491511052_2_2,121080780,600,5,113220553,deep layers of olfactory entorhinal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195881
252491511151_1_4,121063636,600,5,12846,central nucleus of inferior colliculus,,H376.IV.02,/api/v2/well_known_file_download/149124155
252491511297_1_2,147807498,600,5,127434349,SP in posterior parahippocampal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825607
252491511455_2_1,156437963,600,5,127401335,outer SZ in posterosuperior (dorsal) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/156886658
252491511277_1_2,147803954,600,5,127401335,outer SZ in posterosuperior (dorsal) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815698
252491511110_1_4,127366701,600,5,113221574,IZ in posterosuperior (dorsal) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206450
252491511157_1_1,114245798,600,5,12079,precommissural nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059873
252491511059_1_4,127365502,600,5,12875,stratum lacunosum-moleculare of caudal CA1,,H376.IV.02,/api/v2/well_known_file_download/149203502
252491511164_2_4,114245481,600,5,12135,zona incerta,,H376.IV.02,/api/v2/well_known_file_download/121059827
252491511109_2_2,127366466,600,5,113221395,lateral nucleus of pulvinar,,H376.IV.03,/api/v2/well_known_file_download/149206371
252491511192_1_1,147805030,600,5,127404184,caudal division of IPC (area 39),,H376.IIIA.02,/api/v2/well_known_file_download/147817301
252491511175_2_4,127366386,600,5,113221156,medial habenular nucleus,,H376.IV.03,/api/v2/well_known_file_download/149206555
252491511055_2_1,121080940,600,5,113220589,lateral nucleus,,H376.IV.03,/api/v2/well_known_file_download/149195920
252491511097_1_4,127366612,600,5,113221495,VZ in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206286
252491511215_1_2,147803306,600,5,113221880,body of caudate,,H376.IIIA.02,/api/v2/well_known_file_download/147815086
252491511452_1_4,156438118,600,5,127426678,dorsomedial hypothalamic nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/156887159
252491510816_1_1,147807100,600,5,127426678,dorsomedial hypothalamic nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825509
252491511448_1_2,156438252,600,5,127434696,outer CP in dorsomedial extrastriate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887105
252491511448_1_1,156438246,600,5,127434696,outer CP in dorsomedial extrastriate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887103
252491511155_1_1,121063561,600,5,12825,outer CP in primary auditory cortex,,H376.IV.02,/api/v2/well_known_file_download/149124199
252491511284_1_1,147805848,600,5,127409091,SP in subgenual (subcallosal) cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820417
252491510991_2_4,121080052,600,5,113220261,IZ in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195765
252491511183_2_1,114245463,600,5,12053,layer III of piriform cortex,,H376.IV.02,/api/v2/well_known_file_download/121059571
252491511167_1_4,114245665,600,5,12089,dorsal raphe nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059795
252491511158_2_3,114245796,600,5,12070,caudal subdivision of medial nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059861
252491511202_2_4,147805324,600,5,127401254,MZ in posteroventral (inferior) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817427
252491511321_1_2,147807024,600,5,127409211,layer II of piriform cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825841
252491510957_1_2,146036913,600,5,113221393,outer CP in caudal cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/146039607
252491511132_1_1,127366462,600,5,113221393,outer CP in caudal cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149206509
252491511319_2_2,147807741,600,5,127434518,facial nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825817
252491511273_2_1,147805764,600,5,127374109,inner SZ in dorsolateral prefrontal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820306
252491511182_1_1,114245682,600,5,12106,SZ in midcingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/121059687
252491511323_1_1,147807223,600,5,127426906,SP in rostral midinferior temporal cortex (area 36),,H376.IIIB.02,/api/v2/well_known_file_download/147825871
252491511106_2_2,147804779,600,5,113221755,outer SZ in posteror frontal cortex (motor cortex),,H376.IIIA.02,/api/v2/well_known_file_download/147817279
252491510931_2_4,147804767,600,5,113221729,SP in posteror frontal cortex (motor cortex),,H376.IIIA.02,/api/v2/well_known_file_download/147817187
252491511175_1_3,127366530,600,5,113221461,inner CP in posteroinferior (ventral) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206545
252491511079_2_3,127366520,600,5,113221461,inner CP in posteroinferior (ventral) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206081
252491511280_2_1,147806798,600,5,127434262,limitans nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147820361
252491511214_1_1,147804263,600,5,127399761,laterorostral part of entorhinal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815068
252491511314_2_1,147807385,600,5,127434278,pyramidal cells of caudal CA4,,H376.IIIB.02,/api/v2/well_known_file_download/147825741
252491511103_2_2,127366014,600,5,113247995,amygdalostriatal transition area,,H376.IV.03,/api/v2/well_known_file_download/149206331
252491511318_1_1,147808057,600,5,127434737,VZ in dorsomedial extrastriate cortex (V2),,H376.IIIB.02,/api/v2/well_known_file_download/147825791
252491511098_1_1,127366590,600,5,113221489,outer SZ in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206313
252491511256_2_2,147804070,600,5,127402901,VZ in posterior parahippocampal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815462
252491511170_2_1,114245554,600,5,12147,outer CP in rostral perirhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059743
252491510859_2_4,147804969,600,5,127408918,MZ in primary visual cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817123
252491511213_1_2,147803142,600,5,113221853,lateral portion of the shell,,H376.IIIA.02,/api/v2/well_known_file_download/147815054
252491511188_1_3,114245373,600,5,12019,inner CP in orbital frontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059647
252491510960_1_2,146037004,600,5,12084,anterior nucleus of pulvinar,,H376.IV.02,/api/v2/well_known_file_download/146038926
252491511131_2_2,114245650,600,5,12084,anterior nucleus of pulvinar,,H376.IV.02,/api/v2/well_known_file_download/121059879
252491511268_2_3,147803673,600,5,127407437,caudal (posterior) extramural migratory stream,,H376.IIIA.02,/api/v2/well_known_file_download/147815658
252491511321_2_2,147807379,600,5,127434276,stratum pyramidale of caudal CA3,,H376.IIIB.02,/api/v2/well_known_file_download/147825849
252491510817_1_2,147806952,600,5,127409093,IZ in subgenual (subcallosal) cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825527
252491511150_1_2,121063654,600,5,12853,outer SZ in inferolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124135
252491511253_1_1,147806377,600,5,127426863,SP in primary auditory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820180
252491511102_2_2,121079807,600,5,12966,outer CP in frontal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/149196023
252491511097_2_3,127366402,600,5,113221160,anterior nucleus of pulvinar,,H376.IV.03,/api/v2/well_known_file_download/149206309
252491511079_2_2,127366396,600,5,113221160,anterior nucleus of pulvinar,,H376.IV.03,/api/v2/well_known_file_download/149206078
252491511189_2_3,114245337,600,5,12007,outer SZ in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059899
252491511154_2_4,121063724,600,5,12872,MZ in posterodorsal (superior) parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124197
252491511108_1_1,127366484,600,5,113221414,medial nucleus of pulvinar,,H376.IV.03,/api/v2/well_known_file_download/149206337
252491511080_2_1,127366478,600,5,113221414,medial nucleus of pulvinar,,H376.IV.03,/api/v2/well_known_file_download/149206094
252491510812_1_1,147806249,600,5,127426751,MZ in midcingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819834
252491511316_1_4,147807642,600,5,127434461,pineal body,,H376.IIIB.02,/api/v2/well_known_file_download/147825765
252491511253_1_3,147806098,600,5,127426313,LGE-VZ border region,,H376.IIIB.02,/api/v2/well_known_file_download/147820188
252491511229_2_4,147806570,600,5,127427025,IZ in posterosuperior (dorsal) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819938
252491511448_2_4,156438288,600,5,127434735,VZ in primary visual cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887117
252491510956_2_2,146036769,600,5,113220537,SP in temporal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/146039599
252491510957_1_3,146036763,600,5,113220537,SP in temporal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/146039609
252491511211_2_1,147804175,600,5,113222002,IZ in granular insular cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815028
252491511324_2_3,147807480,600,5,127434343,outer CP in posterior parahippocampal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825899
252491511451_2_3,156438185,600,5,127434412,VZ in caudal midinferior temporal cortex (area TF),,H376.IIIB.02,/api/v2/well_known_file_download/156887149
252491511253_1_2,147806668,600,5,127433870,subparafascicular nucleus of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147820184
252491511137_1_4,121063902,600,5,12933,outer SZ in midlateral extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149123959
252491511230_2_4,147806746,600,5,127434210,SP in caudal cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820032
252491510992_2_1,121080699,600,5,113220531,outer CP in temporal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/149195775
252491511135_2_1,121064027,600,5,12958,IZ in dorsomedial extrastriate cortex (V2),,H376.IV.02,/api/v2/well_known_file_download/149123853
252491511184_2_4,114245448,600,5,12048,dorsomedial hypothalamic nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059591
252491511272_1_3,147806686,600,5,127434097,retroparafascicular area of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147820284
252491511455_1_4,156437957,600,5,127402977,stratum pyramidale of caudal CA1,,H376.IIIA.02,/api/v2/well_known_file_download/156886656
252491511276_1_1,147803874,600,5,127402977,stratum pyramidale of caudal CA1,,H376.IIIA.02,/api/v2/well_known_file_download/147815678
252491510812_2_4,147805896,600,5,127409158,lateral portion of the shell,,H376.IIIB.02,/api/v2/well_known_file_download/147819848
252491511191_2_3,114245289,600,5,11985,VZ in frontal polar cortex,,H376.IV.02,/api/v2/well_known_file_download/121059931
252491511133_1_4,121080028,600,5,113220255,SP in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149196039
252491511150_1_4,121063660,600,5,12855,VZ in posteroinferior (ventral) parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124139
252491511193_1_3,147804751,600,5,113221717,outer CP in posteror frontal cortex (motor cortex),,H376.IIIA.02,/api/v2/well_known_file_download/147817321
252491511172_1_3,114245505,600,5,12093,VZ in primary somatosensory cortex,,H376.IV.02,/api/v2/well_known_file_download/121059717
252491511172_1_2,114245503,600,5,12093,VZ in primary somatosensory cortex,,H376.IV.02,/api/v2/well_known_file_download/121059719
252491511212_1_1,147803484,600,5,127408924,inner CP in primary visual cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815036
252491511262_1_4,147803418,600,1.96269907795474,127403022,IZ in caudal perirhinal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815556
252491511105_2_4,147805312,600,5,127401248,stratum pyramidale of caudal CA3,,H376.IIIA.02,/api/v2/well_known_file_download/147817267
252491511448_1_3,156438258,600,5,127434700,outer CP in ventromedial extrastriate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887107
252491510817_2_4,147807967,600,5,127434700,outer CP in ventromedial extrastriate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825539
252491511100_2_1,121080310,600,5,113220469,lateral portion of the shell,,H376.IV.03,/api/v2/well_known_file_download/149195992
252491510991_2_2,121079936,600,5,113219472,rostral putamen,,H376.IV.03,/api/v2/well_known_file_download/149195761
252491510933_1_4,147805348,600,5,127403720,SP in posterosuperior (dorsal) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817211
252491511157_2_1,121063433,600,5,12799,subgranular zone of rostral dentate gyrus,,H376.IV.02,/api/v2/well_known_file_download/149124237
252491511153_2_1,121063581,600,5,12829,SP in primary auditory cortex,,H376.IV.02,/api/v2/well_known_file_download/149124189
252491511268_2_2,147803020,600,5,13391,VZ in orbital frontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815656
252491511267_2_3,147802958,600,5,13372,inner CP in ventrolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815642
252491511213_2_1,147802956,600,5,13372,inner CP in ventrolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815060
252491511162_2_4,121063370,600,5,12091,IZ in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124277
252491511192_2_1,147805572,600,5,113222048,olfactory part of entorhinal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817309
252491511215_2_2,147803689,600,5,127407441,spinal trigeminal nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815096
252491511163_2_3,121063421,600,5,12797,caudal ganglionic eminence,,H376.IV.02,/api/v2/well_known_file_download/149124291
252491511157_1_3,121063417,600,5,12797,caudal ganglionic eminence,,H376.IV.02,/api/v2/well_known_file_download/149124233
252491510955_1_1,146036799,600,5,113220761,external segment of globus pallidus,,H376.IV.03,/api/v2/well_known_file_download/146039573
252491511229_1_1,147806261,600,5,127426319,SZ in midcingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819911
252491511269_2_4,147803217,600,5,113221745,SP in rostral cingulate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815676
252491511280_2_3,147806038,600,5,127426418,inner CP in primary somatosensory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820365
252491511276_2_1,147803085,600,5,113221809,head and face region of M1,,H376.IIIA.02,/api/v2/well_known_file_download/147815688
252491511105_2_1,147804717,600,5,113221811,upper limb region of M1,,H376.IIIA.02,/api/v2/well_known_file_download/147817261
252491511077_1_3,127366008,600,5,113220678,outer CP in dorsomedial frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149205979
252491511273_1_2,147806389,600,5,127426867,outer SZ in posteroinferior (ventral) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820300
252491511267_1_2,147803028,600,5,13392,lateral orbital frontal cortex (area 12/47),,H376.IIIA.02,/api/v2/well_known_file_download/147815632
252491511261_2_1,147802934,600,5,13369,intermediate portion of DFC (area 9/46),,H376.IIIA.02,/api/v2/well_known_file_download/147815542
252491510927_1_1,147804815,600,5,113221790,rostral putamen,,H376.IIIA.02,/api/v2/well_known_file_download/147817125
252491511267_1_3,147803556,600,5,127408960,inferior colliculus,,H376.IIIA.02,/api/v2/well_known_file_download/147815634
252491511176_1_1,121079868,600,5,113219347,inner CP in rostral cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149196071
252491511136_1_1,121063919,600,5,12938,inner CP in ventromedial extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149123845
252491511045_2_2,121080337,600,5,113220473,agranular insular cortex (area Iag),,H376.IV.03,/api/v2/well_known_file_download/149195847
252491510927_1_4,147805512,600,5,113221965,reuniens nucleus (medioventral nucleus) of thalamus,,H376.IIIA.02,/api/v2/well_known_file_download/147817131
252491511198_2_2,147804951,600,5,127424260,outer SZ in ventromedial extrastriate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817407
252491511310_1_3,147808105,600,5,127434763,area postrema,,H376.IIIB.02,/api/v2/well_known_file_download/147825673
252491511281_1_1,147805818,600,5,127409065,IZ in posteror frontal cortex (motor cortex),,H376.IIIB.02,/api/v2/well_known_file_download/147820369
252491511204_1_1,147804797,600,5,113221780,SZ in subgenual cingulate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817429
252491511090_2_1,127366633,600,5,113221529,inner CP in midlateral extrastriate cortex,,H376.IV.03,/api/v2/well_known_file_download/149206234
252491511228_1_1,147806329,600,5,127426827,medial mammillary nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147819890
252491511447_1_1,156438294,600,5,127434739,VZ in ventromedial extrastriate cortex (VP),,H376.IIIB.02,/api/v2/well_known_file_download/156887099
252491510817_2_3,147808063,600,5,127434739,VZ in ventromedial extrastriate cortex (VP),,H376.IIIB.02,/api/v2/well_known_file_download/147825537
252491511182_1_3,114245688,600,5,12108,MZ in posteror frontal cortex (motor cortex),,H376.IV.02,/api/v2/well_known_file_download/121059683
